código,clave,descripción
100048,PET-15X,"Llave ajustable (perico) 15' cromada, TRUPER"
100049,PET-15C,"Llave ajustable (perico) 15' profesional cromada, EXPERT"
100098,REP-CUT-5X,"Estuche con 10 cuchillas SK2 de 9 mm para cutter, EXPERT"
100099,REP-CUT-6X,"Estuche con 10 cuchillas SK2 de 18 mm para cutter, EXPERT"
100101,REP-CUT-650,"Estuche con 50 cuchillas SK4 de 18 mm para cutter, TRUPER"
100103,ST-724X,"Disco sierra 7-1/4' p/madera, 24 dientes centro 5/8', EXPERT"
100104,ST-740X,"Disco sierra 7-1/4' p/madera, 40 dientes centro 5/8', EXPERT"
100105,ST-1040EX,"Disco sierra 10' para madera, 40 dientes centro 1', EXPERT"
100106,ST-1060EX,"Disco sierra 10' para madera, 60 dientes centro 1', EXPERT"
100107,ST-1240EX,"Disco sierra 12' para madera, 40 dientes centro 1', EXPERT"
100108,ST-1260EX,"Disco sierra 12' para madera, 60 dientes centro 1', EXPERT"
100109,ST-10100AX,"Disco sierra 10' p/aluminio, 100 dientes centro 5/8', EXPERT"
100121,SPX-13C,"Serrucho de poda 13',hoja curva,7 DPP, mango madera, EXPERT"
100122,SPX-13R,"Serrucho de poda 13',hoja recta,7 DPP, mango madera, EXPERT"
100128,DILF-4120,"Disco lija 4-1/2' con respaldo de fibra, grano 120, TRUPER"
100130,REP-CUT-7X,"Estuche con 10 cuchillas SK2 de 25 mm para cutter, EXPERT"
100131,REP-CUT-650X,"Estuche con 50 cuchillas SK2 de 18 mm para cutter, EXPERT"
100139,CA-40,"Cavador giratorio de acero, mango 'T' 30', TRUPER"
10014,PR-PE,"Pala (lampa) recta, Perú, TRUPER"
100142,PAR-26,"Prensa de ajuste rápido 6' uso rudo, cuerpo nylon, EXPERT"
100143,PAR-212,"Prensa de ajuste rápido 12' uso rudo, cuerpo nylon, EXPERT"
100144,PAR-224,"Prensa de ajuste rápido 24' uso rudo, cuerpo nylon, EXPERT"
100145,SUS-CAS,"Suspensión para cascos, ajuste por matraca, TRUPER"
100147,PES-X,"Pala escarramán, puño 'Y', mango acero, TRUPER EXPERT"
100148,MAN-30X3/4XX,Manguera 3/4' anti-torceduras 6 capas 30m conexiones d/metal
100153,EST-45/50/60,2 estabilizadores calibre 15 p/carretillas TRUPER y EXPERT
100155,JT-S,"Tornillería con chumaceras para carretilla CAR-82, TRUPER"
100156,JT-M,"Tornillería con chumaceras para carretilla TP-8, TRUPER"
100158,BAS-CU-60-G,"Bastidor de madera 39 x 48 mm para carretilla TP-8, TRUPER"
100159,J-CH-2W,Chumaceras sin punzonado para carretilla de 2 llantas TRUPER
100171,BOS-1LH,"Bomba sumergible hierro fundido, agua limpia, 1 HP, TRUPER"
100172,ST-424,"Disco sierra 4-1/2' para madera, 24 dientes centro 3/8'"
100173,GA-MA-N,"Gancho plástico naranja para manguera de jardín, TRUPER"
100177,CAR-81FF,"Carretilla 8 ft3 Imponchable, bastidor tubular, TRUPER"
100178,CAT-60PL-FF,"Carretilla concha plástica 6 ft Imponchable b/tubular,Truper"
100180,CU-S,"Cuña plástica para carretillas tipo americano, TRUPER"
100182,E-2W,Eje largo para carretillas tipo americano 2 llantas TRUPER
100197,STP-7PR,"Serrucho plegable 7' hoja recta 11 DPP mango plástico,Truper"
100198,STP-10PC,"Serrucho plegable 10' hoja curva 5 DPP mango plástico,Truper"
100250,COMBOE-4580ALF,"Combo esmeriladora 4-1/2', 850W,lentes y flexómetro,ERGO-PRO"
100258,BA-PAT,"Balero de bolas para patín traspaleta, TRUPER"
100276,Ext-1000,"Extintor portátil recargable 1 kg, polvo tipo ABC, TRUPER"
100293,LEDE-SN-R,"Lentes de seguridad, gris con banda elástica, Active, TRUPER"
100300,COMP-KIT25,"Kit Compresor lub, 25L, manguera y pistola grav,127V, TRUPER"
100334,EM-50,"Engrapadora tipo martillo, uso rudo, TRUPER"
100353,PROCA-N,"Protector solar plegable para casco, naranja con reflejante"
100354,PROCA-V,"Protector solar plegable para casco, verde con reflejante"
100360,MUT-36,"Multímetro digital profesional, TRUPER"
100361,MUT-50A,Multímetro profesional con RMS verdadero y auto rango
100362,MUT-60A,Multímetro profesional con RMS verdadero y auto rango Deluxe
100370,LIBA-4X24N3,"Lijadora de banda 4 x 24', 1200W, TRUPER INDUSTRIAL"
100416,CAT 50X,"Carretilla 5.5ft3 Imponchable bastidor tubular,TRUPER EXPERT"
100417,CAT 60X,"Carretilla 6ft3 Imponchable, bastidor tubular, TRUPER EXPERT"
100430,BOAC-1A,"Bomba centrífuga para agua, 1 HP, TRUPER"
100433,BOAC-1AX,"Bomba centrífuga para agua, 1 HP, TRUPER EXPERT"
100435,AFI-TIJ,"Afilador para herramientas de corte, TRUPER"
100436,POLI-9,"Lijadora manual base de aluminio 8 x 24 cm, TRUPER"
100495,ESMU-112,"Escalera multiposición 12 peldaños, Tipo I, TRUPER"
100503,PUN-7PH1,"Estuche con 7 puntas de cruz combinadas largo 1', EXPERT"
100504,PUN-7PH2,"Estuche con 7 puntas de cruz combinadas largo 2', EXPERT"
100505,PUN-6PL1,"Estuche con 6 puntas planas combinadas largo 1', EXPERT"
100506,PUN-6PL2,"Estuche con 6 puntas planas combinadas largo 2', EXPERT"
100516,SN-PI20,"Pinza niveladora de azulejos, TRUPER"
100518,SN-CU16,"Bolsa con 100 cuñas para nivelación de azulejos, TRUPER"
100652,TF-112,"Tijera para ramas 38 cm, mangos de aluminio, TRUPER EXPERT"
100655,T-460-12B,"Machete rambo 12', cacha inyectada negra, TRUPER"
100662,T275-5X,"Pinza 5' de corte para electrónica, TRUPER EXPERT"
10067,BOMEX-25,"Bomba extractora de aceites con manivela, TRUPER"
100679,GRIP-CAT,2 puños para bastidor tubular p/carretillas TRUPER y EXPERT
100696,JOY-Y03,Desarmador de precisión punta triwing Y000 mango ergonómico
100697,JOY-E1,Desarmador de precisión pentalobe PL1 mango ergonómico
10070,BOAP-1,"Bomba periférica 1HP, altura máx 70m, uso agrícola, EXPERT"
100733,RE-TI,"Remachadora de uso rudo tipo tijera, 13', TRUPER"
100752,A2C,"Azadón dos cuernos, mango de madera 54', TRUPER"
100754,CO-80P,"Concha plástica para carretilla TP-8, TRUPER"
100777,CAIMAN-T,"Blíster con 2 caimanes para cables pasa corriente, TRUPER"
100778,BOT-1,"Bomba autocebante para uso con taladro, TRUPER"
100779,CLNE-18E,"Clavadora y engrapadora neumática profesional, calibre 18"
100785,JM-HO,Juego 7 piezas de martillos y entibadores para hojalatero
100787,BASE-50M,"Báscula electrónica para equipaje, de pilas, 50 kg, TRUPER"
100788,BASE-300C,"Báscula electrónica colgante, de pilas, 300 kg, TRUPER"
10079,CAT-15FF,"Carretilla 5 ft3 Imponchable, bastidor tubular, TRUPER"
100811,NL-TRI-150,"Tripié telescópico para nivel láser, altura max. 1.45 m"
100812,LEN-NL-V,"Lentes de seguridad para láser verde, TRUPER"
100815,KITB-5X,"Juego de 4 brocasierras bimetálicas y 1 mandril, EXPERT"
100816,KITB-3X,"Juego de 3 piezas para instalar cerraduras, TRUPER EXPERT"
100817,LLJ-140T,"Llave p/manguera, de latón, 140g, 1/2', granel, TRUPER"
100825,PROSO-1M,"Protección para soldar, peto de mezclilla, TRUPER"
100826,PROSO-2M,"Protección para soldar, mangas de mezclilla, TRUPER"
100827,PROSO-4M,"Protección para soldar, capucha de mezclilla, TRUPER"
100850,NM-6S,"Navaja auto-retráctil de seguridad 7', TRUPER"
100851,CT-608MR,"Carda copa 3' alambre trenzado fino, Multi-rosca, TRUPER"
100852,CT-610MR,"Carda copa 4' alambre trenzado fino, Multi-rosca, TRUPER"
100853,CT-612MR,"Carda copa 5' alambre trenzado fino, Multi-rosca, TRUPER"
100854,CT-608MRX,"Carda copa 3' alambre trenzado grueso, Multi-rosca, TRUPER"
100855,CT-610MRX,"Carda copa 4' alambre trenzado grueso, Multi-rosca, TRUPER"
100856,CT-612MRX,"Carda copa 5' alambre trenzado grueso, Multi-rosca, TRUPER"
100857,CO-508MR,"Carda copa 3' alambre ondulado fino, Multi-rosca, TRUPER"
100858,CO-510MR,"Carda copa 4' alambre ondulado fino, Multi-rosca, TRUPER"
100859,CO-512MR,"Carda copa 5' alambre ondulado fino, Multi-rosca, TRUPER"
100860,REF-BAS-01,"Charola para báscula mecánica, TRUPER"
100861,REF-BASC-01,"Charola para báscula mecánica colgante, TRUPER"
100868,RMAX-7NX,"Rotomartillo SDS Max 6kg, 7J, 1100W, TRUPER EXPERT"
100869,RMAX-15NX,"Rotomartillo SDS Max/destornillador 9 kg, 15J, 1500W, EXPERT"
100870,CO-512MRX,"Carda copa 5' alambre ondulado grueso, Multi-rosca, TRUPER"
100871,BASE-40T,"Báscula electrónica multifunciones con torreta 40 kg, TRUPER"
100873,D-1406-B,"Dado de 3/16', 12 puntas, cuadro 1/4', TRUPER"
100874,D-1407-B,"Dado de 7/32', 12 puntas, cuadro 1/4', TRUPER"
100876,D-1409-B,"Dado de 9/32', 12 puntas, cuadro 1/4', TRUPER"
